body_a,body_b,date,jd_ut,separation_deg,ecliptic_longitude_deg,solar_elongation_deg,event_class
Mercury,Venus,1415-02-18 10:59 UT (Julian),2237934.957638874,0.00038609124345612145,323.16153642417953,14.907053919652242,close_conjunction
Mercury,Venus,1415-04-20 22:49 UT (Julian),2237996.4506944297,0.0002832873769307298,39.30534118771642,0.793883727327426,close_conjunction
Mercury,Mars,1415-04-25 16:08 UT (Julian),2238001.172222208,0.00010303597798611008,49.5405059851488,6.471716624727719,close_conjunction
Venus,Mars,1415-05-04 01:44 UT (Julian),2238009.572222206,0.00015325482524986,55.45518177047604,4.2995388959849095,close_conjunction
Mercury,Saturn,1415-06-02 10:29 UT (Julian),2238038.936805541,0.38172918716068693,98.48918299297047,19.233751570955576,close_conjunction
Mercury,Venus,1415-06-07 16:11 UT (Julian),2238044.1743055414,0.0004399470771545566,97.92763147013555,13.67633480291829,close_conjunction
Venus,Saturn,1415-06-08 23:07 UT (Julian),2238045.4631944294,0.0001443757129493406,99.50742963176265,14.026988263425608,close_conjunction
Mercury,Mars,1415-06-23 13:19 UT (Julian),2238060.054861095,4.755119272203956e-05,89.88107193022785,9.50393754109379,close_conjunction
Mars,Saturn,1415-07-15 08:02 UT (Julian),2238081.8347222055,0.00012616355172667681,104.21213707263136,15.96382733511075,close_conjunction
Mercury,Saturn,1415-07-16 15:52 UT (Julian),2238083.161111097,0.0004270889203326078,104.38005674619245,17.064751325551242,close_conjunction
Mercury,Mars,1415-07-17 08:49 UT (Julian),2238083.867361094,0.00031870628723140726,105.53565779318315,16.584906945736122,close_conjunction
Venus,Jupiter,1415-11-12 23:22 UT (Julian),2238202.473611096,0.00014352321954902436,285.924506745149,47.01690219990846,close_conjunction
Mercury,Jupiter,1415-12-26 11:01 UT (Julian),2238245.959027763,1.2663451798289316e-05,295.4454737124318,12.259786877551733,close_conjunction
Mercury,Jupiter,1416-02-03 22:10 UT (Julian),2238285.423611097,0.00019197815026927856,304.7574038242408,18.471721720908022,close_conjunction
Mercury,Jupiter,1416-02-14 05:52 UT (Julian),2238295.744444429,2.7671127611483826e-05,307.1164344541952,26.48424799532586,close_conjunction
Mercury,Venus,1416-02-21 10:03 UT (Julian),2238302.9187499858,0.0002528142562141511,313.44318149563736,27.33483237572699,close_conjunction
Mercury,Saturn,1416-07-14 01:43 UT (Julian),2238446.5715277614,0.0004306566832212866,116.37096442506568,3.3239854944716,close_conjunction
Venus,Saturn,1416-08-08 23:42 UT (Julian),2238472.487499985,4.838649454086408e-05,119.64858793015252,24.941113810177,close_conjunction
Mercury,Venus,1416-09-30 01:30 UT (Julian),2238524.5624999837,0.0003406805260794954,184.0049127074035,11.55770078482442,close_conjunction
Mercury,Venus,1416-11-13 18:47 UT (Julian),2238569.282638873,6.627305768347469e-05,240.15383563663846,0.3394680408578665,close_conjunction
Mars,Jupiter,1416-12-01 17:53 UT (Julian),2238587.245138874,0.00015520831919957345,318.19992895171686,59.43907642279663,close_conjunction
Mercury,Venus,1417-01-02 07:11 UT (Julian),2238618.7993055396,0.00013542239855723892,302.4076671974642,11.484004948528764,close_conjunction
Venus,Jupiter,1417-01-23 22:49 UT (Julian),2238640.4506944297,5.566893889863422e-06,329.50603138378676,16.59695465204402,close_conjunction
